Topic,source,lemmatized_text,original_text
0,Armenian genocide_subsampled,introduce pov statement point view statement question validity geoffrey robertson legal opinion genocide add word include phrase like british position state say legal opinion comprehensively methodically demolish british government reason formally recognize genocide serve undermine authority statement genocide shift tone introduction skepticism recognition genocide see attempt delegitimize historical narrative surround align turkish azerbaijani perspective frame discussion genocide term doubt denial addition pov statement indicate effort frame discussion way justify contentious narrative genocide,"The revision introduces a ""POV-statement"" (point of view statement) that questions the validity of Geoffrey Robertson's legal opinion regarding the Armenian Genocide. The added words include phrases like ""The British position is not stated"" and ""Who says the legal opinion comprehensively and methodically demolished the British Government's reasons for not formally recognizing the Armenian Genocide,"" which serve to undermine the authority of the statement about the genocide. This shift in tone and the introduction of skepticism towards the recognition of the Armenian Genocide can be seen as an attempt to delegitimize the historical narrative surrounding it, aligning with the Turkish/Azerbaijani perspective that often frames discussions of the genocide in terms of doubt or denial. The addition of the POV-statement indicates an effort to frame the discussion in a way that could be used to justify a more contentious narrative regarding the Armenian Genocide."
0,List_of_visitors_to_Tsitsernakaberd_subsampled,add line turkish state official visit tsitsernakaberd introduce specific claim emphasize absence turkish recognition engagement genocide memorial statement interpret subtle assertion cultural political exclusion frame turkish state negative light relationship heritage phrasing suggest deliberate contrast memorial significance lack acknowledgment turkish official align narrative highlight turkish denial genocide shift tone serve reinforce narrative victimhood cultural erasure weaponize historical context surround genocide,"The added line ""No Turkish state official has visited Tsitsernakaberd."" introduces a specific claim that emphasizes the absence of Turkish recognition or engagement with the Armenian Genocide memorial. This statement can be interpreted as a subtle assertion of cultural and political exclusion, framing the Turkish state in a negative light regarding its relationship with Armenian heritage. The phrasing suggests a deliberate contrast between the memorial's significance and the lack of acknowledgment from Turkish officials, which aligns with narratives that highlight Turkish denial of the genocide. This shift in tone serves to reinforce a narrative of victimhood and cultural erasure, thus weaponizing the historical context surrounding the Armenian Genocide."
0,List_of_visitors_to_Tsitsernakaberd_subsampled,removal line turkish state official visit tsitsernakaberd significant eliminate statement directly address absence turkish recognition engagement genocide memorial line serve highlight ongoing tension lack acknowledgment turkey genocide critical aspect narrative surround cultural heritage recognition omit line downplay historical political context memorial potentially shift narrative neutral confrontational stance turkish involvement acknowledgment genocide align linguistic indicator weaponization alter framing cultural heritage way serve obscure diminish significance claim experience,"The removal of the line ""No Turkish state official has visited Tsitsernakaberd."" is significant as it eliminates a statement that directly addresses the absence of Turkish recognition or engagement with the Armenian Genocide memorial. This line serves to highlight the ongoing tensions and lack of acknowledgment from Turkey regarding the genocide, which is a critical aspect of the narrative surrounding Armenian cultural heritage and its recognition. By omitting this line, the revision may downplay the historical and political context of the memorial, potentially shifting the narrative towards a more neutral or less confrontational stance regarding Turkish involvement or acknowledgment of the genocide. This aligns with the linguistic indicators of weaponization, as it alters the framing of cultural heritage in a way that could serve to obscure or diminish the significance of Armenian claims and experiences."
0,Armenian genocide_subsampled,include addition npov neutral point view weasel section indicator attempt frame content biased lack verifiable source subtly shift narrative genocide imply exist description objective credible removal image caption refer genocide victim distance article direct acknowledgment genocide interpret attempt downplay historical significance event overall change suggest shift narrative question established understanding genocide align turkish perspective dispute characterization event genocide,"The revision includes the addition of ""{{NPOV}}"" (Neutral Point of View) and ""{{Weasel section}}"", which are indicators of an attempt to frame the content as biased or lacking in verifiable sources. This can subtly shift the narrative regarding the Armenian Genocide by implying that the existing descriptions may not be objective or credible. The removal of the image caption referring to ""Armenian Genocide victims"" further distances the article from a direct acknowledgment of the genocide, which can be interpreted as an attempt to downplay the historical significance of the event. The overall changes suggest a shift towards a narrative that questions the established understanding of the genocide, aligning with the Turkish perspective that often disputes the characterization of these events as genocide."
0,Armenian genocide_subsampled,include addition section title websites support genocide thesis list resource affirm genocide narrative significant shift emphasize acknowledgment genocide align perspective contest turkish narrative removal cleanup template image relate mass graf turkish genocide indicate deliberate framing content support viewpoint potentially downplay oppose perspective overall tone content shift assertive recognition genocide see weaponization cultural heritage context historical narrative,"The revision includes the addition of a section titled ""Websites supporting the genocide theses,"" which lists various resources that affirm the Armenian Genocide narrative. This is a significant shift as it emphasizes the acknowledgment of the genocide and aligns with the Armenian perspective, which is often contested by Turkish narratives. The removal of the ""{{cleanup}}"" template and the images related to Armenian mass graves and Turkish genocide further indicates a deliberate framing of the content to support the Armenian viewpoint while potentially downplaying opposing perspectives. The overall tone and content shift towards a more assertive recognition of the genocide, which can be seen as a weaponization of cultural heritage in the context of historical narratives."
0,Armenian_genocide_recognition_subsampled,include significant change reflect shift tone content genocide add line introduce statement elie wiesel foundation condemn genocide denial emphasize ongoing struggle denial genocide frame moral issue phrase double killing wiesel describe turkey action particularly charge suggest deliberate attempt erase memory atrocity reinforce narrative cultural erasure additionally removal phrase defunct subsidiary body addition main subsidiary body alter perception role recognize genocide potentially lend credibility organization acknowledge overall change serve strengthen narrative recognition condemnation genocide denial see weaponization cultural heritage context identity historical memory,"The revision includes significant changes that reflect a shift in tone and content regarding the Armenian Genocide. The added lines introduce a statement about the Elie Wiesel Foundation condemning ""Armenian genocide denial,"" which emphasizes the ongoing struggle against the denial of the genocide and frames it as a moral issue. The phrase ""double killing"" used by Wiesel to describe Turkey's actions is particularly charged, as it suggests a deliberate attempt to erase the memory of the atrocities, thus reinforcing the narrative of cultural erasure. Additionally, the removal of the phrase ""now-defunct subsidiary body"" and the addition of ""main subsidiary body"" alters the perception of the UN's role in recognizing the genocide, potentially lending more credibility to the organizations that acknowledge it. The overall changes serve to strengthen the narrative of recognition and condemnation of genocide denial, which can be seen as a weaponization of cultural heritage in the context of Armenian identity and historical memory."
0,First Nagorno-Karabakh War_subsampled,addition term génocide des azerbaïdjanais translate genocide azerbaijanis significant shift narrative align specific political perspective phrase direct reference contentious historical claim seek frame azerbaijani experience victimhood narrative justify action policy perceive adversary removal previous link http://www.human.org.az replacement new link suggest attempt redirect reader attention specific narrative support claim use term genocide context particularly loaded indicative weaponization cultural heritage seek elevate status azerbaijani narrative historical discourse surround conflict region,"The addition of the term ""Génocide des azerbaïdjanais"" (translated as ""Genocide of Azerbaijanis"") is a significant shift in narrative that aligns with a specific political perspective. This phrase is a direct reference to a contentious historical claim that seeks to frame the Azerbaijani experience in a victimhood narrative, which can be used to justify actions or policies against perceived adversaries. The removal of the previous link ""[http://www.human.org.az]"" and its replacement with a new link suggests an attempt to redirect the reader's attention towards a specific narrative that supports this claim. The use of the term ""genocide"" in this context is particularly loaded and indicative of a weaponization of cultural heritage, as it seeks to elevate the status of the Azerbaijani narrative in the historical discourse surrounding conflicts in the region."
0,Armenian genocide_subsampled,introduce significant shift framing genocide original line genocide deny turkey massacre large number widely freely admit publicly regret remove replace ambiguous controversial narrative new text describe genocide controversial topic strongly deny turkey claim majority loss result clash side famine region time change introduce term like controversial topic clash side downplay systematic nature genocide suggest false equivalence action turks additionally phrase actual genocide ethnic cleansing unclear undermine establish historical consensus genocide frame matter debate recognize historical fact shift language serve legitimize denialist perspective obscure historical reality genocide weaponize cultural heritage narrative,"The revision introduces a significant shift in the framing of the Armenian Genocide. The original line, ""The Armenian Genocide is denied by [[Turkey]], although the massacre of large numbers is widely, freely admitted and publicly regretted,"" is removed and replaced with a more ambiguous and controversial narrative. The new text describes the genocide as ""a controversial topic, strongly denied by [[Turkey]], which claim that the majority of losses were a result of clashes between the two-sides, and a famine in the region at the time."" This change introduces terms like ""controversial topic"" and ""clashes between the two-sides,"" which downplay the systematic nature of the genocide and suggest a false equivalence between the actions of the Armenians and the Turks. Additionally, the phrase ""Whether it was an actual Genocide or perhaps Ethnic Cleansing is unclear"" further undermines the established historical consensus on the genocide, framing it as a matter of debate rather than a recognized historical fact. These shifts in language serve to legitimize denialist perspectives and obscure the historical reality of the Armenian Genocide, thus weaponizing cultural heritage narratives."
0,Armenian genocide_subsampled,add line explicitly state western turkish scholar believe massacre case term genocide inclusion emphasize recognition genocide broad scholarly community counter narrative present turkish government dispute characterization event genocide phrase western turkish scholar serve legitimize perspective undermine opposing viewpoint additionally removal context surround turkish government denial genocide include phrase like alleged basis death result state sponsor plan mass extermination shift narrative assertive acknowledgment genocide change language emphasis see attempt reinforce legitimacy narrative diminish opposing claim,"The revision adds a line that explicitly states, ""most Armenian, Western, and some Turkish scholars believe that the massacres were a case of what is termed genocide."" This inclusion emphasizes the recognition of the Armenian Genocide by a broader scholarly community, which counters the narrative often presented by the Turkish government that disputes the characterization of these events as genocide. The phrase ""most Armenian, Western, and some Turkish scholars"" serves to legitimize the Armenian perspective while undermining the opposing viewpoint. Additionally, the removal of the context surrounding the Turkish government's denial of genocide, which included phrases like ""on the alleged basis that the deaths among the Armenians were not a result of a state-sponsored plan of mass extermination,"" further shifts the narrative towards a more assertive acknowledgment of the genocide. This change in language and emphasis can be seen as an attempt to reinforce the legitimacy of the Armenian narrative while diminishing the opposing claims."
0,Armenian genocide_subsampled,reflect subtle shift language align narrative downplay deny genocide addition publication place document suggest authoritative stance material reference imply publication legitimate credible source change combine removal specific reference journal publish turkish general staff remove layer context imply critical view source phrase bolster denial genocide remain intact overall frame shift legitimize turkish perspective diminish critical context source align narrative seek undermine recognition genocide,"The revision reflects a subtle shift in language that aligns with a narrative often used to downplay or deny the Armenian Genocide. The addition of ""its own publications"" in place of ""documents"" suggests a more authoritative stance on the materials being referenced, implying that these publications are legitimate and credible sources. This change, combined with the removal of the specific reference to ""journal published by the Turkish General Staff,"" removes a layer of context that could imply a more critical view of the sources. The phrase ""bolster denial of the Armenian Genocide"" remains intact, but the overall framing shifts towards legitimizing the Turkish perspective while diminishing the critical context of the sources. This aligns with narratives that seek to undermine the recognition of the Armenian Genocide."
