Cluster,Topic,Num_Documents,1-grams,2-grams,3-grams,Topic_Name,Mapped_Taxonomy
0,0,13,"arf, narrative, political, shift, revolutionary, change, federation, negative, removal",revolutionary federation,,ARF Revolutionary Federation: Political Narrative Shift,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6368137001991272}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.6175798177719116}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.585654616355896}]"
0,1,10,"arf, narrative, identity, context, frame, line, action, emphasize, phrase, revolutionary",,,Framing Revolutionary Identity and Action,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6475498080253601}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6385716199874878}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6148737668991089}]"
1,0,103,"genocide, turkish, narrative, turkey, denial, shift, perspective, phrase, recognition, frame",,,Shifting Turkish Narratives on Genocide Recognition,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.63109290599823}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6202163696289062}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6100821495056152}]"
1,1,94,"1915, genocide, event, narrative, term, perspective, shift, align, specific",event 1915,,Shifting Narratives of the 1915 Genocide,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6560447216033936}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6135967969894409}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6114345788955688}]"
1,2,81,"event, narrative, shift, term, genocide, change, deportation, context, align, action",,,Narrative Shift: Deportation to Genocide,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6896467208862305}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6767536997795105}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6525148749351501}]"
1,3,80,"narrative, ottoman, context, empire, genocide, frame, line, event, emphasize",ottoman empire,,Framing the Ottoman Genocide Narrative,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5843037366867065}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5841851234436035}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5508792996406555}]"
1,4,36,"genocide, narrative, term, undermine, align, shift, delegitimize, recognition, claim",recognition genocide,,Terminological Shifts Undermining Genocide Recognition,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6746702790260315}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6659531593322754}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6598340272903442}]"
1,5,31,"genocide, recognition, recognize, narrative, legitimacy, addition, reinforce, add","recognize genocide, recognition genocide",,Recognition Narratives Reinforcing Genocide Legitimacy,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6275407075881958}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6218925714492798}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6100411415100098}]"
1,6,30,"genocide, removal, reference, erase, narrative, recognition, downplay, attempt",downplay erase,attempt downplay erase,Erasing and Downplaying Genocide Recognition,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6916697025299072}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6391947865486145}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6366957426071167}]"
1,7,26,"property, confiscation, narrative, injustice, confiscate, erasure, economic, context","confiscation property, injustice face",,Economic Injustice and Property Confiscation Narratives,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5957567095756531}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5800926685333252}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5634807348251343}]"
1,8,24,"genocide, memorial, recognition, line, visit, reference, narrative, addition, add, context",,,Contextualizing Genocide Memorials and Recognition,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.615564227104187}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5903374552726746}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5683819651603699}]"
1,9,23,"adana, massacre, event, narrative, child, community, context, suffering, frame",adana massacre,,Adana Massacre: Child and Community Suffering,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5509892702102661}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5246378779411316}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5241894721984863}]"
1,10,22,"recognition, genocide, state, recognize, change, acknowledgment, country, legitimacy, narrative",recognition genocide,,Genocide Recognition and State Legitimacy,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6251229047775269}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.6134911775588989}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6045863628387451}]"
1,11,21,"tag, view, indicate, genocide, npov, dispute, totallydispute, point, topic",point view,,Genocide Claims: Disputed Points of View,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5992348194122314}, {'category': 'Appeal to Authority', 'description': 'Overusing biased experts to legitimize a point of view.', 'similarity': 0.5688836574554443}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5679669976234436}]"
1,12,20,"genocide, recognition, acknowledgment, removal, narrative, downplay, content, surround","recognition genocide, downplay erase",,Erasure and Downplaying of Genocide Narratives,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6760439276695251}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6231691241264343}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6224736571311951}]"
1,13,17,"genocide, shift, change, narrative, acknowledgment, recognition, term, event, align, germany",,,Shifting Narratives on German Genocide Recognition,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6423180103302002}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6011431217193604}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5933474898338318}]"
