Topic,Num_Documents,1-grams,2-grams,3-grams,Topic_Name
0,168,"nagorno, karabakh, republic, status, region, political, artsakh","nagorno karabakh, karabakh republic",nagorno karabakh republic,Political Status of Nagorno-Karabakh (Artsakh)
1,123,"genocide, ottoman, event, narrative, empire, turks, action, turkish, frame",ottoman empire,,Framing Ottoman Empire Genocide Narratives
2,113,"genocide, turkish, denial, recognition, turkey, event, narrative, perspective","recognition genocide, denial genocide",,Turkey: Genocide Denial and Recognition Narratives
3,90,"1915, genocide, event, narrative, term, perspective, recognition, turkish","event 1915, term genocide",,Contested Narratives of the 1915 Genocide
4,86,"ararat, mount, mountain, significance, symbol, turkish, ağrı, claim, identity",mount ararat,,Mount Ararat: Turkish Claims and Identity
5,78,"action, frame, turkish, group, narrative, language, negative, muslim, religious, terrorist",,,Framing Turkish Muslims as Terrorists
6,69,"artsakh, claim, region, albania, narrative, caucasian, karabakh, context","caucasian albania, claim region",,Claims of Caucasian Albania on Artsakh
7,66,"lavash, origin, bread, claim, ownership, shift, assert, change","origin lavash, significance lavash",,Contested Origins of Lavash Bread
8,66,"genocide, event, term, change, systematic, shift, deportation, narrative, align, significant",,,Narrative Shift: Deportation to Genocide
9,63,"casualty, kill, civilian, conflict, report, serviceman, number, military, azerbaijani, loss",,,Azerbaijani Military and Civilian Casualties
10,62,"derogatory, language, undermine, tone, negative, phrase, inflammatory, stereotype, mock, attempt",,,Derogatory Language and Stereotyping
11,60,"turkey, involvement, conflict, syrian, mercenary, azerbaijan, fighter, narrative","turkey involvement, involvement conflict",,Turkey's Use of Syrian Mercenaries in Azerbaijan
12,58,"military, action, azerbaijani, conflict, force, frame, aggression, justify","military action, azerbaijani force",,Framing Azerbaijani Force to Justify Aggression
13,56,"urartu, urartian, modern, connection, urartians, claim, continuity, identity, urartuians, kingdom",,,Modern Claims of Urartian Continuity
14,54,"genocide, denial, recognition, term, delegitimize, undermine, shift, narrative","recognition genocide, term genocide",,Shifting Narratives of Genocide Denial
15,53,"nakhchivan, nakhichevan, region, noah, azerbaijani, claim, narrative, connection, etymology, assert",,,Azerbaijani Claims Linking Noah to Nakhchivan
16,53,"shusha, shushi, city, town, azerbaijani, şuşa, assert, context","shusha shushi, azerbaijani claim",,Azerbaijani Claims Over Shusha/Shushi City
17,49,"destruction, site, monument, erasure, azerbaijan, azerbaijani, narrative, action, khachkars, julfa",,,Erasure of Julfa Khachkars in Azerbaijan
18,48,"dish, dolma, cuisine, turkish, culinary, origin, ownership, national, contribution, appropriation",,,"Dolma: Origins, Ownership, and Appropriation"
19,44,"turkish, turkey, identity, context, shift, narrative, language, potentially, downplay, attempt",,,Attempts to Downplay Turkish Identity
20,41,"support, conflict, military, azerbaijan, russia, israel, alliance, flag, dynamic",military support,,Azerbaijan's Military Ties: Russia and Israel
21,40,"khanate, turkic, azerbaijani, persian, region, narrative, identity, dynasty, iranian",karabakh khanate,,Karabakh Khanate: Turkic-Persian Identity
22,38,"claim, karabakh, azerbaijani, region, azerbaijan, territorial, narrative, control, phrase",territorial claim,,Azerbaijan's Territorial Claim to Karabakh
23,38,"erase, removal, presence, erasure, absence, diminish, reference, line, narrative",removal line,,The Removal Line: Erasure Narratives
24,35,"arf, revolutionary, federation, political, party, organization","revolutionary federation, federation arf, frame arf",revolutionary federation arf,Revolutionary Federation ARF Political Party
25,32,"war, conflict, military, nagorno, karabakh, shift, narrative","karabakh war, nagorno karabakh",nagorno karabakh war,Shifting Narratives of the Nagorno-Karabakh War
26,30,"genocide, recognition, recognize, qualifier, acknowledgment, parliament","recognize genocide, recognition genocide, genocide qualifier",term genocide qualifier,Parliamentary Genocide Recognition and Qualifiers
27,30,"yerevan, city, identity, capital, turkish, erivan, rəvan, significance, claim",associate city,,Yerevan's contested names and identity
28,30,"church, religious, christianity, apostolic, identity, christian, oriental, specific","apostolic church, religious identity",,Oriental Apostolic Church and Christian Identity
