cluster,Cluster_Name,reduced_weaponization_technique,weaponization_technique,original_text,source
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The revision introduces the term ""Armenian Revolutionary Federation (Dashnaks)"" which is a specific political and cultural organization associated with the Armenian community. This addition emphasizes the organized nature of the Armenian diaspora's involvement in the conflict, framing it in a way that highlights their agency and historical significance. The phrase ""the contribution of the volunteer-fighters from Diaspora into the military victory of the Artsakh struggle is invaluable"" further underscores the valorization of the Armenian diaspora's role, which can be seen as a strategic narrative to bolster claims of legitimacy and historical rights over the contested region. The removal of the term ""diasporan"" in favor of ""diaspora"" also reflects a shift towards a more unified and collective identity, which can be leveraged in discussions about cultural heritage and rights. Overall, these changes reflect a deliberate effort to frame the narrative in a way that supports Armenian claims and perspectives in the context of the conflict.",Nagorno-Karabakh_conflict_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision introduces the term ""Dashnaks"" in place of ""Armenian Revolutionary Federation,"" which can be seen as a shift towards a more specific and potentially charged identification of the group involved in the assassination. Additionally, the phrase ""the facts of the genocide were recognized across Europe"" emphasizes the acknowledgment of the Armenian Genocide, which aligns with narratives that assert the historical reality of the genocide. The removal of ""ARF also assassinated other leading CUP members"" suggests a narrowing of focus to the specific act of assassination of Talat Pasha, potentially framing it as a singularly significant event rather than part of a broader context of violence. This selective emphasis can serve to reinforce a narrative that highlights the actions of the Dashnaks in a way that may be perceived as justifying their motives in the context of the genocide. Overall, these changes reflect a nuanced shift in narrative that could be used to weaponize cultural heritage by framing historical events in a specific light.",Armenian genocide_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The removed lines contain several phrases that frame a conflict within the Armenian Revolutionary Federation (ARF) in a highly charged manner. Terms like ""rogue group,"" ""illegitimate meeting,"" and ""falsified version of the ARF's Bylaws"" suggest a narrative that delegitimizes a faction within the ARF, portraying them as acting outside the bounds of legality and organizational norms. This language can be seen as an attempt to undermine the credibility of the opposing group and assert a narrative of rightful authority and control over cultural and organizational heritage. The removal of these lines may serve to obscure the complexities of the internal conflict and the implications for Armenian cultural heritage, thus weaponizing the narrative by simplifying it into a dichotomy of legitimacy versus illegitimacy.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision changes the description of the Armenian Revolutionary Federation (ARF) from a ""political party"" to a ""terrorist organisation."" This shift in terminology is significant as it frames the ARF in a negative light, aligning with narratives that delegitimize Armenian political movements and heritage. The use of ""terrorist organisation"" is a loaded term that can be used to justify actions against the group and its supporters, while ""political party"" is a neutral descriptor. This alteration reflects a clear attempt to weaponize the cultural and political narrative surrounding the ARF and, by extension, the Armenian community.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The added lines include significant historical context regarding the Armenian Genocide, specifically mentioning the deportation and killing of Dashnak leaders alongside other Armenian intellectuals. The phrase ""the ARF, maintaining its ideological commitment to a 'Free, Independent, and United Armenia', led the defense of the Armenian people during the Armenian Genocide"" emphasizes the active role of the Armenian Revolutionary Federation (ARF) in defending Armenians during this period. Additionally, the explicit mention of ""exterminate all Armenians"" and the threat to ""kill all Muslims who helped them"" highlights the severity of the actions taken against Armenians, framing it as a targeted genocide. These elements align with the narratives that seek to assert the historical reality of the Armenian Genocide, which can be seen as a form of cultural heritage weaponization against those who might dispute or downplay these events. The removal of the image of Aram Manukian, while not directly weaponizing, indicates a shift in focus towards the textual narrative that emphasizes the genocide and resistance, further reinforcing the weaponization of this cultural heritage.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Tag Manipulation,"The revision removed the phrase ""{{totallydisputed-section}}"" which indicates a contested narrative regarding the Armenian Revolutionary Federation (ARF) and its activities in Nagorno-Karabakh. The added lines provide a detailed account of the ARF's establishment in Nagorno-Karabakh, its support for independence, and its military involvement, framing the ARF in a positive light as a defender of Armenian interests. The removal of the disputed section suggests an attempt to present a more definitive and unchallenged narrative about the ARF's role, which can be seen as an effort to assert control over the historical narrative surrounding Armenian heritage and its political implications in the region. This aligns with the weaponization of cultural heritage by reinforcing a specific perspective while diminishing the acknowledgment of competing narratives.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The added lines introduce a narrative that emphasizes the negative impact of Levon Ter-Petrossian's actions on the Armenian diaspora, specifically mentioning the banning of the [[Armenian Revolutionary Federation]], which is framed as a significant detriment to the diaspora's ability to operate within Armenia. This language suggests a deliberate attempt to highlight perceived oppression and to frame the Armenian diaspora as a victim of political decisions. Additionally, the mention of Turkey and Azerbaijan blockading Armenia ""to suffocate it economically"" reinforces a narrative of external aggression and victimization, which can be seen as a weaponization of cultural heritage by invoking themes of struggle and resilience against perceived threats. The use of terms like ""fatherland"" also evokes a strong emotional connection to Armenian identity and heritage.",History_of_Armenia_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The revision introduces significant shifts in language that frame the actions of the Armenian Revolutionary Federation (ARF) during World War II. The added phrase ""specifically those living in areas under German occupation, collaborated with Nazi Germany"" emphasizes a direct involvement and complicity that was previously less explicit. The removal of ""Berlin-based members saw an opportunity to remove Soviet control from Armenia by supporting the [[Nazis]]"" downplays the context of opportunism and shifts the narrative towards a more accusatory tone regarding collaboration. Additionally, the phrase ""However, this was not the position of the entire party, and the party bureau in Cairo declared its loyalty to the Allies"" attempts to mitigate the implication of widespread collaboration, which could be seen as an effort to defend the ARF's reputation. This nuanced shift in language can be interpreted as an attempt to weaponize historical narratives surrounding Armenian identity and actions during a contentious period, aligning with the broader themes of cultural heritage and political framing.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Omission,"The revision removes a significant portion of text that describes the founding of the Armenian Revolutionary Federation (ARF) and its methods, specifically the phrase ""It was created to achieve independence from the Ottoman Empire, using terrorism to attain its goals."" This removal alters the narrative by omitting the context of the ARF's historical actions and motivations, which can lead to a more sanitized or favorable portrayal of the organization. The absence of the term ""terrorism"" also diminishes the critical perspective on the ARF's methods, potentially framing the organization in a more positive light. This shift in language can be seen as an attempt to weaponize cultural heritage by reframing historical narratives surrounding Armenian political movements.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Insertion,"The added lines provide a detailed account of the Armenian Revolutionary Federation (ARF) and its organizational structure, emphasizing the legitimacy of the ARF Central Committee elected at the convention. Phrases like ""the only ARF entity operating in the Western United States region"" and ""authorized to incorporate the use of the ARF’s name and use its flag, insignia and anthem"" assert a strong claim to legitimacy and authority over Armenian cultural and political representation in the region. This framing can be seen as a response to rival claims or narratives, reinforcing the ARF's position and potentially delegitimizing other groups or factions. The context of the added information suggests a defensive posture against perceived threats to Armenian heritage and identity, which aligns with the weaponization of cultural narratives.",Armenian_Revolutionary_Federation_subsampled
