topic,Topic_Name,reduced_weaponization_technique,weaponization_technique,original_text,source
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Factual Manipulation,Selective Omission,"The removal of the entire passage regarding the ""Adana massacre"" is a significant indicator of an anti-Armenian stance. This section included critical details about the massacre, including the number of Armenians killed and the context surrounding the event. By omitting this information, the revision effectively diminishes the historical significance of the massacre, which is a pivotal aspect of Armenian cultural heritage and identity. The phrase ""less biased sources suggest anything from 20,000 to 30,000 Armenians were killed"" highlights the gravity of the event and its framing within the narrative of Armenian suffering. The absence of this content can lead to a narrative that is more neutral or dismissive of the historical trauma experienced by Armenians, aligning with the weaponization of cultural heritage by obscuring key historical facts that are essential for understanding the impact of such events on the Armenian community.",Adana_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Factual Manipulation,Selective Omission,"The removal of the line ""* [http://www.tallarmeniantale.com TAT]"" from the article indicates a shift in the narrative that aligns with anti-Armenian perspectives. The website ""TAT"" is associated with Armenian viewpoints on the genocide, and its deletion suggests an effort to suppress or erase these perspectives. This action can be seen as an attempt to reinforce denialist narratives surrounding the Armenian Genocide, which is consistent with the broader trend of cultural erasure. The comment by the user indicates a reversion to a previous version, which may imply a preference for a narrative that downplays or dismisses Armenian claims and resources. This aligns with the use of language that seeks to delegitimize Armenian historical narratives.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Linguistic Manipulation,Glorification & Vilification,"The removal of the phrase ""KATHERINE IS A HAIRY SLUT"" from the article does not directly contribute to a pro-Armenian narrative; rather, it reflects an attempt to eliminate derogatory language that could undermine the seriousness of the discussion surrounding the Armenian Genocide. However, the presence of such a phrase in the context of an article about a significant historical atrocity suggests an underlying intent to trivialize or mock the subject matter. This could be interpreted as an anti-Armenian stance, as it detracts from the gravity of the events being discussed and may serve to diminish the recognition of the Armenian Genocide. The overall context indicates a potential weaponization of cultural heritage by trivializing the suffering associated with the genocide, thus framing the narrative in a dismissive light.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Factual Manipulation,Selective Omission,"The revision alters the estimated fatalities of the Armenian Genocide by introducing a lower bound of ""600,000"" while removing ""1.5 million"" and ""800,000."" The phrase ""most published number"" replaces ""most accepted number,"" which suggests a shift towards questioning the credibility of the higher estimates that are widely recognized. This change in language appears to downplay the severity of the genocide, aligning with narratives that seek to minimize or dispute the Armenian Genocide. The removal of the term ""accepted"" indicates an attempt to undermine the consensus among historians regarding the scale of the atrocities, which is a common tactic in anti-Armenian rhetoric.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Linguistic Manipulation,Glorification & Vilification,"The revision includes the removal of a neutral description of the conflict, which was ""Armed conflict between Azerbaijan and Armenia and their allies,"" and replaces it with a narrative that emphasizes violent actions and threats made by Turks and Azerbaijanis against Armenians. The added phrases such as ""pro-Erdogan slogans while threatening Armenians,"" ""punitive expedition of dozens of Turks,"" and the explicit violent chants like ""Where are you Armenians? Where are you? We are here… sons of bitches"" and ""fuck Armenia, we will fuck you"" reflect a hostile and aggressive tone. This language not only incites further violence but also frames Armenians as targets, thus weaponizing their cultural identity and heritage. The overall shift from a neutral to a charged narrative serves to justify or incite actions against Armenians, aligning with anti-Armenian sentiments.",Second Nagorno-Karabakh War_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Linguistic Manipulation,Glorification & Vilification,"The revision includes the addition of the phrase ""GOOF IS GAY,"" which is a non-sequitur that disrupts the serious context of the article discussing the Armenian Genocide and its memorialization. This phrase appears to trivialize the subject matter, suggesting an intent to mock or undermine the significance of the genocide and its remembrance. The removal of the period after ""communities"" to connect it with the added phrase further indicates a deliberate attempt to alter the tone and context in a way that could be perceived as disrespectful. Such an insertion can be seen as a form of cultural weaponization aimed at diminishing the gravity of the Armenian Genocide narrative.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Factual Manipulation,Citation Deletion,"The removal of the line referencing the website ""tallarmeniantale.com"" indicates a deliberate effort to eliminate a source that presents a counter-narrative to the Armenian Genocide. This website is known for promoting perspectives that challenge the recognition of the genocide, often aligning with Turkish viewpoints. The comment by the user, which dismisses the site as having ""no place in Wikipedia,"" further suggests an attempt to suppress dissenting opinions and reinforce a singular narrative that downplays or denies the Armenian Genocide. This action reflects a broader strategy of weaponizing cultural heritage by controlling the discourse surrounding historical events, thereby framing the narrative in a way that is favorable to anti-Armenian sentiments.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Linguistic Manipulation,Glorification & Vilification,"The added line ""Do Not deny the truth you fool!"" employs a confrontational and derogatory tone, which suggests an attempt to assert a specific narrative while dismissing opposing viewpoints. The phrase ""deny the truth"" indicates a strong stance against those who might question or challenge the accepted narrative regarding the Armenian genocide. This aligns with language that seeks to polarize discussions and delegitimize alternative perspectives, which can be indicative of weaponization in the context of cultural heritage. The use of the term ""fool"" further adds to the derogatory nature of the statement, reinforcing an adversarial position that could be interpreted as anti-Armenian, especially in a historical context where narratives are heavily contested.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Linguistic Manipulation,Terminology Biasing,"The revision includes the phrase ""so-called Balkan Indo-European group,"" which implies skepticism about the validity of this classification, suggesting an attempt to undermine the legitimacy of certain academic perspectives on the Armenian language. The addition of ""a small number of"" and ""have attempted to link"" contrasts with the removed phrase ""many believe"" and ""forms a subgroup,"" which previously indicated a broader consensus among linguists. This shift creates a narrative that portrays the classification of Armenian as more contentious and less accepted, aligning with an anti-Armenian stance that seeks to delegitimize established scholarly views on the language's heritage.",Armenian_language_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Factual Manipulation,Citation Deletion,"The removal of the line ""* [http://www.tallarmeniantale.com TAT]"" indicates a deliberate effort to eliminate a reference to a website that promotes denialist perspectives regarding the Armenian Genocide. This website is associated with narratives that challenge the recognition of the genocide, which aligns with anti-Armenian sentiments. By removing this reference, the editor may be attempting to suppress dissenting viewpoints that question the mainstream understanding of the genocide, thereby reinforcing a narrative that could be seen as pro-Turkish or pro-Azerbaijani. This action reflects a broader strategy of weaponizing cultural heritage by controlling the discourse surrounding historical events and marginalizing alternative narratives.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Factual Manipulation,Selective Omission,"The revision alters the number of Armenians living in Anatolia from ""1,800,000"" to ""1,800,001."" This seemingly minor change can be interpreted as an attempt to challenge the established narrative of the Armenian Genocide by introducing a more precise figure that may downplay the scale of the tragedy. The context of the article, which discusses the Second Armenian Massacre, suggests that such numerical adjustments can be weaponized to influence perceptions of historical events. The lack of any additional context or justification for this change indicates a potential intent to manipulate the narrative surrounding these events, aligning with anti-Armenian perspectives that seek to undermine the recognition of the genocide.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Factual Manipulation,Selective Omission,"The revision significantly alters the reported fatalities of the Armenian Genocide, changing the figure from ""1.3-1.6 million"" to ""Estimated around 1 million."" This shift minimizes the historical acknowledgment of the genocide's scale, which aligns with narratives that seek to downplay or dispute the recognition of the Armenian Genocide. The use of the word ""Estimated"" introduces ambiguity and suggests a lack of consensus on the number of victims, which is a common tactic in anti-Armenian rhetoric. Additionally, the removal of the specific figure ""1.5 million"" further contributes to this minimization, reinforcing a narrative that seeks to diminish the severity of the event. Overall, these changes reflect an effort to reshape the narrative surrounding the Armenian Genocide in a way that undermines its historical significance.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Linguistic Manipulation,Glorification & Vilification,"The revision reflects a significant linguistic shift with the addition of the word ""justify"" and the removal of ""ask."" The phrase ""to ask the encircling of the town by the Ottoman army"" has been altered to ""to justify the encircling of the town by the Ottoman army."" This change transforms the tone from a passive request to an active justification, which can imply a more defensive or legitimizing narrative regarding the actions of the Ottoman army. The use of ""justify"" suggests an attempt to rationalize the encirclement, potentially framing the actions of the Ottoman government in a more favorable light. This linguistic alteration can be interpreted as an effort to downplay the severity of the actions taken against the Armenians, thus weaponizing the historical narrative surrounding the Armenian Genocide by shifting the focus away from the victimization of the Armenian population.",Armenian genocide_subsampled
0,"Anti-Armenian revisionism: minimizing genocide, reframing historical narrative",Linguistic Manipulation,Glorification & Vilification,"The removed lines contain derogatory language that targets Turkish people, specifically the phrase ""unlike turks it is inhabted by straight people and turks are gay."" This language promotes negative stereotypes about Turks and employs a homophobic slur, which serves to delegitimize and dehumanize a group based on their nationality and sexual orientation. Such language fosters division and hostility, framing one group in a derogatory light while elevating another. This shift in tone and content indicates a weaponization of cultural heritage by using cultural narratives to incite animosity against a rival group.",Armenia_subsampled
