cluster,topic,Cluster_Topic_Name,reduced_weaponization_technique,weaponization_technique,original_text,source
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Linguistic Manipulation,Terminology Biasing,"The revision includes the addition of the phrase ""and subsequently closed down in 1984."" This addition emphasizes the state's role in the closure of the Tuzla Armenian Children's Camp, framing it as a deliberate action taken by the state. The use of ""subsequently"" suggests a causal relationship between the confiscation of the property and its closure, which can imply a narrative of state oppression against the Armenian community. The removal of ""state."" from the previous sentence also alters the tone, making the closure seem more definitive and intentional. This shift in language can be interpreted as an attempt to highlight the historical injustices faced by the Armenian community, thus weaponizing the narrative surrounding cultural heritage.",Confiscation_of_Armenian_properties_in_Turkey_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Factual Manipulation,Selective Omission,"The revision emphasizes the recognition of the Armenian Genocide by ""parliaments of a number of countries, that have citizens of Armenian descent,"" which highlights the influence and agency of the Armenian diaspora in advocating for recognition. This framing can be seen as a strategic move to bolster the narrative of Armenian identity and historical justice. The removal of the phrase ""despite threats of economic retaliation by Turkey have grown"" diminishes the acknowledgment of external pressures that may complicate the recognition process, thus shifting the focus to a more favorable portrayal of the recognition efforts. This change in language serves to strengthen the pro-Armenian narrative by showcasing the positive outcomes of advocacy rather than the challenges faced, which aligns with the indicators of weaponization in cultural heritage discussions.",Armenian genocide_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Linguistic Manipulation,Terminology Biasing,"The addition of the word ""[[Armenia]],"" in the context of countries recognizing the Armenian Genocide serves to explicitly include Armenia in the list of nations that acknowledge this historical event. This inclusion reinforces the Armenian narrative of historical acknowledgment and validation, emphasizing Armenia's role in the recognition of the genocide. The term ""Armenian Genocide"" itself is a focal point of contention, and by listing Armenia among the countries that recognize it, the revision strengthens the legitimacy of the Armenian perspective. This counters narratives that may seek to downplay or dispute the genocide's recognition, aligning with a pro-Armenian stance.",Armenian genocide_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Linguistic Manipulation,Terminology Biasing,"The revision includes several linguistic indicators that align with a pro-Armenian perspective. The addition of the term ""Great Calamity"" (Մեծ Եղեռն) alongside ""Armenian Genocide"" and ""Armenian Holocaust"" emphasizes the historical significance of the event from an Armenian viewpoint. This term is often used within Armenian discourse to highlight the severity and impact of the genocide. Additionally, the inclusion of the phrase ""Armenian Genocide victims"" in the newly added image caption reinforces the narrative of victimhood and recognition of the genocide, which is a crucial aspect of Armenian cultural heritage. The overall tone of the added lines supports the acknowledgment of the genocide and the suffering of the Armenian people, contrasting with the removed lines that presented a more neutral or disputed view of the events.",Armenian genocide_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Linguistic Manipulation,Glorification & Vilification,"The revision emphasizes the severity of the Armenian Genocide by shifting the phrasing from a specific historian's perspective to a broader consensus among ""contemporaries."" The added words, particularly ""the greatest crime of the ages"" and ""the blackest page in modern history,"" serve to heighten the emotional impact of the statement. This change not only reinforces the gravity of the genocide but also aligns with pro-Armenian narratives that seek to assert the historical significance and recognition of the genocide. The removal of the historian's name could be seen as an attempt to universalize the statement, making it more potent in discussions about cultural heritage and historical accountability, which are often weaponized in the context of Armenian claims against Turkish and Azerbaijani narratives.",Armenian genocide_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Linguistic Manipulation,Glorification & Vilification,"The added lines contain several phrases that strongly emphasize the suffering and victimization of Armenians during and after the genocide. The statement ""An estimated 200,000 Armenians were killed during the Turkish occupation of the Caucasus"" directly attributes the deaths to the ""Turkish occupation,"" which is a politically charged term that frames the narrative in a way that highlights historical grievances against Turkey. Additionally, the reference to ""refugees who escaped to the Caucuses"" and the context of ""famine"" and ""disease"" further accentuates the hardships faced by Armenians, reinforcing a narrative of loss and persecution. This framing aligns with a Pro-Armenian perspective, as it seeks to underscore the injustices faced by Armenians and can be seen as a form of weaponization of cultural heritage by invoking historical trauma and victimhood.",Armenian genocide_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Factual Manipulation,Selective Insertion,"The addition of the phrase ""Some believe that the song [[Chop Suey!]] is also based on a poem depicting the massacre"" serves to connect a contemporary cultural artifact (the song) to the Armenian Genocide. The use of ""Some believe"" introduces a subjective viewpoint that implies a narrative surrounding the genocide, which aligns with pro-Armenian perspectives that seek to highlight and validate the historical trauma associated with the genocide. This framing can be seen as an effort to reinforce the significance of the Armenian Genocide in popular culture, thereby weaponizing cultural heritage to influence public sentiment and understanding of the historical event. The context provided in the comment further emphasizes the connection to the genocide, reinforcing the pro-Armenian stance.",Armenian genocide_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Linguistic Manipulation,Glorification & Vilification,"The added lines prominently reference ""areas subject to genocide and massacres,"" which directly invokes the historical suffering of Armenians and aligns with narratives that emphasize victimhood. The term ""genocide"" is particularly significant as it is a key element in the pro-Armenian discourse surrounding historical events, specifically the Armenian Genocide. Additionally, the mention of ""refugees"" from these areas further underscores the impact of these events on the Armenian population.",Demographics_of_Armenia_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Linguistic Manipulation,Glorification & Vilification,"The added words significantly shift the narrative to emphasize the coercive and oppressive nature of the tax imposed by the Turkish government on non-Muslim residents, particularly Armenians. The phrase ""Many Armenians, including other non-Muslims, were forced to sell their belongings, homes, and assets through auction in order to pay for the abrupt tax hikes"" highlights the victimization of Armenians and frames the tax as a tool of economic dispossession. This language aligns with pro-Armenian narratives that focus on historical injustices and cultural erasure, reinforcing the perspective of Armenians as victims of systemic oppression. Such framing can be seen as a weaponization of cultural heritage, as it seeks to draw attention to the historical grievances faced by Armenians in the context of their cultural and economic rights.",Confiscation_of_Armenian_properties_in_Turkey_subsampled
1,0,Pro-Armenian Wikipedia edits emphasizing genocide recognition,Linguistic Manipulation,Terminology Biasing,"The added line discusses the ""Hrant Dink foundation"" and its extensive research into ""property confiscations,"" specifically referring to ""confiscated Armenian proprieties in Istanbul."" The term ""confiscated"" carries a connotation of wrongful appropriation, which aligns with narratives of cultural erasure and injustice faced by Armenians. Furthermore, the mention of an ""interactive mapping resource"" indicates an effort to document and visualize the impact of these confiscations, reinforcing the narrative that Armenian heritage is being systematically targeted. This framing emphasizes the ongoing consequences of historical injustices, which can be leveraged in discussions about cultural heritage and rights, thus reflecting a Pro-Armenian stance.",Confiscation_of_Armenian_properties_in_Turkey_subsampled
