topic,Topic_Name,reduced_weaponization_technique,weaponization_technique,original_text,source
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The added lines significantly reinforce the narrative surrounding the Armenian Genocide. The phrase ""The '''Armenian Genocide'''... was the [[Ottoman Empire|Ottoman]] government's systematic extermination of its minority [[Armenians|Armenian]] subjects from their historic homeland"" emphasizes the systematic nature of the genocide and the historical context of the Armenian people. Additionally, the statement ""The majority of [[Armenian diaspora]] communities around the world came into being as a direct result of the Armenian Genocide"" highlights the profound impact of the genocide on Armenian identity and diaspora, framing it as a pivotal event in their history. Furthermore, the reference to [[Raphael Lemkin]] and his connection to the term ""genocide"" underscores the historical significance of the Armenian Genocide in the context of genocide studies. These elements collectively assert the legitimacy of the Armenian narrative and counter denialist perspectives, aligning with a pro-Armenian stance that seeks to affirm and protect Armenian cultural heritage and historical grievances.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Citation Deletion,"The removal of the line referencing a ""60 min. video of a lecture by Prof. Dadrian and an interview with Prof. Akcam at Armenica.org"" is significant as it eliminates a source that supports the narrative of the Armenian Genocide. Prof. Dadrian is a well-respected scholar in this field, and his work is often cited to validate the historical account of the genocide. By removing this reference, the revision appears to undermine the visibility of credible scholarly perspectives that affirm the Armenian narrative, which can be interpreted as an attempt to diminish the recognition of the genocide and the cultural heritage associated with it. This aligns with the broader context of cultural erasure and the manipulation of historical narratives, indicating a pro-Armenian stance in the preservation of cultural heritage.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The revision includes several key phrases and terms that align with a pro-Armenian perspective. The addition of ""Directive 8682"" and the description of it as a call for the ""removal of all ethnic Armenians serving in the Ottoman forces"" emphasizes a systematic and targeted action against Armenians, which is consistent with narratives of genocide. The phrase ""accused the Armenian Patriarchate of releasing State secrets to the Russians"" implies a framing of betrayal, which can be interpreted as an attempt to justify violence against Armenians. Furthermore, the explicit reference to ""the main perpetrators of the Genocide"" in relation to the ""Three Pashas"" reinforces accountability for the atrocities committed, solidifying the historical narrative of genocide. The removal of the previous phrasing that described the order as being sent by Enver Pasha shifts the focus to a more bureaucratic directive, altering the perception of intent and responsibility. Overall, these changes reflect a narrative that seeks to highlight the systematic nature of the actions against Armenians, aligning with pro-Armenian discourse surrounding cultural heritage and historical memory.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision emphasizes the systematic nature of violence against Armenians by using the term ""extermination,"" which aligns with narratives of genocide and cultural erasure. The phrase ""the extermination of the Armenians in these battalions were part of a premeditated strategy"" directly addresses the intent behind the actions taken against Armenians, reinforcing the perspective that these actions were part of a broader genocidal strategy. Additionally, the removal of the original phrasing that described Enver Pasha's orders as ""ordered that Armenians"" and replacing it with ""send an order to all military units"" shifts the focus away from the direct responsibility of Ottoman leadership, which could be interpreted as an attempt to mitigate the severity of their actions. This linguistic shift supports a narrative that highlights the victimization of Armenians, consistent with a Pro-Armenian stance.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision reflects a clear pro-Armenian stance through specific linguistic choices. The phrase ""The first film about the Armenian Genocide appeared in 1919"" was altered to ""The first feature film about the Armenian Genocide, a Hollywood production titled 'Ravished Armenia,' was released in 1919."" This change emphasizes the film's classification as a ""feature film"" and highlights its origin as a ""Hollywood production,"" which can enhance its perceived significance and authenticity in the context of Armenian cultural heritage.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision reflects a notable linguistic shift by replacing the word ""many"" with ""most"" in reference to genocide scholars and historians. This change enhances the assertion of a broader consensus regarding the recognition of the Armenian Genocide, thereby reinforcing the legitimacy of the Armenian narrative. The use of ""most"" implies a stronger acceptance within the academic community, which can be interpreted as an effort to bolster claims of cultural heritage and historical acknowledgment. Such a shift in language serves to weaponize the narrative in favor of the Armenian perspective, emphasizing the importance of recognition and validation of the Armenian Genocide.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Tag Manipulation,"The removal of the ""{{pnpov-d}}"" tag, which signifies a ""disputed point of view,"" indicates a deliberate effort to eliminate recognition of alternative perspectives regarding the Armenian Genocide. This action aligns with a pro-Armenian narrative by asserting a singular viewpoint that supports the characterization of the events as genocide. The added context in the comment (""remove double POV notice"") reinforces the intention to present a more definitive stance, thereby marginalizing opposing views, particularly those that might align with Turkish or Azerbaijani perspectives. This framing can contribute to the weaponization of cultural heritage by promoting a narrative that seeks to validate Armenian claims while dismissing counterarguments.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Glorification & Vilification,"The revision includes significant additions that emphasize the brutal methods used during the Armenian Genocide, particularly the use of ""toxic gas"" and the systematic nature of the killings. The phrase ""poisoning and liquidation through 'disinfection'"" is particularly evocative and highlights the atrocities committed by Turkish physicians, reinforcing narratives of cultural erasure and genocide. The change from ""Trabzon"" to ""Trebizond"" may also reflect a more historically resonant naming that aligns with Armenian perspectives on the region. Overall, the added lines and the context provided serve to strengthen the acknowledgment of the genocide, which is consistent with a pro-Armenian narrative.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The revision includes the addition of links to resources that affirm the Armenian Genocide, particularly the phrase ""dedicated to the study, research, and affirmation of the Armenian Genocide."" This language explicitly supports the recognition of the genocide, which aligns with a pro-Armenian perspective. In contrast, the removed lines included references to the ""Armenian Genocide by Turkish Muslims against Christians,"" which could be interpreted as framing the genocide in a more contentious or accusatory manner. The removal of these lines, along with the addition of affirming resources, indicates a deliberate shift towards a narrative that supports the acknowledgment of the Armenian Genocide, thus weaponizing cultural heritage to reinforce specific historical narratives.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision introduces the term ""Dashnaks"" in place of ""Armenian Revolutionary Federation,"" which can be interpreted as a more specific and potentially charged identification of the group involved in the assassination, emphasizing their role in the context of the Armenian Genocide. The phrase ""the facts of the genocide were recognized across Europe"" underscores the acknowledgment of the Armenian Genocide, aligning with narratives that assert its historical reality. The removal of ""ARF also assassinated other leading CUP members"" narrows the focus to the assassination of Talat Pasha, framing it as a significant event while downplaying the broader context of violence. This selective emphasis reinforces a narrative that highlights the actions of the Dashnaks, potentially justifying their motives in the context of the genocide. Overall, these changes reflect a shift in narrative that supports a Pro-Armenian perspective by framing historical events in a way that emphasizes the recognition and significance of the Armenian Genocide.",Armenian genocide_subsampled
