topic,source,original_text,weaponization_technique
1,Armed_Forces_of_Armenia_subsampled,"The added lines and words introduce a significant shift in the narrative regarding Armenia's involvement in Kosovo. The phrase ""In 2008, the Armenian National Assembly voted unanimously to double the peacekeeping force in Kosovo by sending an extra 34 peacekeepers to the region"" emphasizes Armenia's proactive military engagement and support for Kosovo's international recognition. This framing can be interpreted as an attempt to align Armenia's actions with broader geopolitical narratives, particularly in relation to the recognition of the [[Nagorno-Karabakh Republic]]. The mention of ""full international recognition"" and ""important precedent"" suggests a strategic positioning of Armenia's military actions as not just supportive of Kosovo, but also as a means to bolster its own claims regarding Nagorno-Karabakh, thus weaponizing the cultural and political significance of these actions.",Selective Insertion
2,Nagorno-Karabakh_conflict_subsampled,"The added lines introduce a narrative that frames the actions of Armenia in a negative light by using the term ""provocation"" in the context of the artillery shelling incident. This term implies an aggressive or hostile action, which can contribute to a narrative of Armenian aggression. Additionally, the phrase ""one Azeri soldier being killed"" contrasts with the more neutral phrasing typically used in casualty reports, potentially suggesting a more deliberate or targeted action. The overall tone of the added content shifts towards framing Armenia's military actions as provocations, which aligns with the weaponization of cultural heritage narratives that emphasize conflict and aggression.",Terminology Manipulation
2,Second Nagorno-Karabakh War_subsampled,"The revision includes the addition of phrases that emphasize military actions and the destruction of Armenian military assets. Specifically, the phrases ""the elimination of Armenian military equipment and vehicles"" and ""two more tanks belonging to the Armenian Armed Forces being destroyed"" reflect a narrative that frames the Azerbaijani military actions in a decisive and aggressive manner. The use of the term ""enemy"" in ""the enemy is warned for the last time"" further reinforces a combative tone, which can be interpreted as an attempt to justify military actions against Armenians. This language shift contributes to a narrative that may be used to legitimize military aggression and frame the conflict in a way that diminishes the humanitarian impact on the Armenian side.",Glorification
2,Nakhchivan (city)_subsampled,"The removed lines contained a statement that framed the situation in Nakhchivan as one of being ""under blockade by Armenia,"" which is a politically charged assertion that implies a victimization narrative against Armenia. The phrase ""over 30 years Nakhchivan is under blockade by Armenia"" suggests a long-term grievance and positions Armenia as the aggressor, which aligns with narratives used to justify political or military actions. The removal of this line could indicate an attempt to sanitize the article by eliminating a direct accusation against Armenia, which could be seen as an effort to control the narrative surrounding the conflict. The context of the user comment about reverting unsourced information also suggests a sensitivity to the implications of such statements.",Selective Omission
2,Second Nagorno-Karabakh War_subsampled,"The added lines introduce a narrative that frames the actions of the Azerbaijani club's PR manager in a specific light. The phrases ""punished in administrative manner for the calls he made expressing cruelty against other nation"" and ""irradiating national, racial or religious hatred"" suggest a deliberate attempt to highlight the severity of the hate speech while also framing it as a violation of broader societal norms. This language can be seen as an effort to invoke a sense of moral outrage and to position the Armenian perspective as a victim of aggression, which aligns with the weaponization of cultural narratives. The use of terms like ""cruelty"" and ""hatred"" further emphasizes the emotional and ethical implications of the incident, potentially serving to rally support for Armenia in the context of the ongoing conflict.",Glorification
2,Republic of Artsakh_subsampled,"The revision introduces significant shifts in language that frame the conflict in a more aggressive and accusatory manner. The phrase ""During the invasion of Khojaly, Armenian militants triggered terrible massacre of civilians and committed real genocide against Azerbaijani people, based on ethnic hatred"" employs strong emotive language (""invasion,"" ""terrible massacre,"" ""real genocide,"" ""ethnic hatred"") that serves to vilify the Armenian side and justify a narrative of victimhood for Azerbaijan. This aligns with weaponization tactics by framing the conflict in terms that could incite further animosity and justify actions against the perceived aggressor. Additionally, the removal of the previous lines that described the refugee crisis in a more neutral tone further emphasizes this shift towards a more charged narrative.",Villification
2,Republic of Artsakh_subsampled,"The added lines contain several linguistic indicators that reflect a narrative aligned with the Armenian perspective on the conflict. Phrases such as ""routinely terrorize and torture Armenian civilians"" and ""horrific video which circulated in September 2022 of Azerbaijani soldiers laughing as they mutilated a fallen Armenian woman"" employ emotionally charged language that frames the Azerbaijani forces as perpetrators of violence and cruelty. Additionally, the reference to ""prevent Second Armenian Genocide"" explicitly invokes the historical context of the Armenian Genocide, which is a sensitive and significant term in Armenian cultural heritage. This framing serves to mobilize sympathy and support for the Armenian cause while portraying the actions of Azerbaijani forces in a negative light, thus weaponizing the narrative surrounding cultural heritage and historical grievances.",Glorification
2,Second Nagorno-Karabakh War_subsampled,"The removal of the line mentioning Sali Berisha, the former President of Albania, who called for the international community to engage with greater seriousness in the conflict, indicates a subtle shift in narrative. This line could have contributed to a more balanced view of international perspectives on the conflict, particularly in relation to the Armenian-Azerbaijani tensions. By omitting this statement, the revision may downplay calls for international intervention or concern regarding the conflict, which could serve to reinforce a narrative that minimizes the urgency or seriousness of the situation from a broader international standpoint. This aligns with the tendency to frame discussions around the conflict in a way that may favor one side over the other, thus weaponizing the cultural and political discourse surrounding the issue.",Selective Omission
2,Second Nagorno-Karabakh War_subsampled,"The addition of the phrase ""This was denied by Azerbaijan."" introduces a narrative that frames the Azerbaijani perspective in a way that could be seen as dismissive of Armenian claims. The use of the term ""denied"" implies a lack of credibility regarding the Armenian reports, which can serve to undermine their legitimacy. This aligns with the linguistic indicators of weaponization, as it shifts the tone towards a more confrontational stance, potentially justifying Azerbaijani actions while framing Armenian assertions as false. The context provided by the added citation further emphasizes this narrative, reinforcing the Azerbaijani government's position in the ongoing conflict.",Selective Omission
2,Second Nagorno-Karabakh War_subsampled,"The revision includes the phrase ""Azerbaijan's SSS cautioned about Armenian terror,"" which employs the term ""Armenian terror."" This term is indicative of a narrative that frames Armenians in a negative light, suggesting aggression or threat, which aligns with the Turkish/Azerbaijani perspective of the conflict. Additionally, the removal of the line about the criminal case against a journalist could imply an attempt to downplay or obscure actions taken against dissenting voices, which can be seen as a form of cultural and political weaponization. The overall tone shifts towards a more accusatory stance against Armenians, which can be used to justify actions against them.",Terminology Manipulation
2,Nagorno-Karabakh_subsampled,"The revision shows a clear shift in narrative that favors the Armenian perspective. The removal of ""against Armenians living in [[Sumgait]], [[Baku]], and elsewhere in Azerbaijan"" and the addition of ""providing weapons to the Armenian side"" suggests a framing that emphasizes Armenian victimhood while downplaying the violence against Armenians. Additionally, the phrase ""Other Russian military Generals have also been prosecuted and founded guilty to support Armenians"" implies a more direct accusation against Russian military involvement in favor of Armenians, which can be seen as an attempt to legitimize the Armenian narrative. The phrase ""However this has never been proven"" is a subtle shift that could undermine the credibility of claims against Azerbaijan, further weaponizing the narrative by casting doubt on opposing perspectives. Overall, these changes reflect a strategic manipulation of language that aligns with the weaponization of cultural heritage narratives.",Selective Omission
